,birth,death,gender,hair,height,name,race,realm,spouse,first_name,mentions_firstname,mentions_fullname
819,"22 September ,TA 2968","Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Male,Brown,"1.06m (3'6"")",Frodo Baggins,Hobbit,,,Frodo,1980,6
669,"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,Blond (movie),"1.22m (4'0"")",Sam Gamgee,Hobbits,,Rosie Cotton,Sam,1322,33
667,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,"Grey, later white",,Gandalf,Maiar,,,Gandalf,1117,1117
874,TA 2227,TA 2327,Male,,,Aragorn I,Men,,Unnamed wife,Aragorn,721,2
761,TA 2990,FO 65,Male,Almost golden,"1.34m (4'5"")",Peregrin Took,Hobbits,,Diamond of Long Cleeve,Pippin,685,11
680,,,,,,Merry Gamgee,,,,Merry,544,0
473,TA 2430,"March 25 ,3019",Male,,,Gollum,Hobbits,,,Gollum,392,392
489,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Auburn,,Gimli,Dwarves,,,Gimli,390,390
661,,"Still alive, departed to ,Aman ,FO 120",Male,"Uncertain (book), Blonde (films)",,Legolas,Elves,,,Legolas,335,335
381,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",Bilbo Baggins,Hobbits,,None,Bilbo,329,9
64,TA 2983,"February 26 ,82",Male,Raven,,Faramir,Men,Minas Ithil,owyn,Faramir,291,291
78,"Before the creation of ,Arda","3 November ,3019",Male,White,,Saruman,Maiar,"Isengard,Nan Curunír",None,Saruman,280,280
1,TA 2978,"February 26 ,3019",Male,Dark (book) Light brown (movie),,Boromir,Men,,,Boromir,277,277
194,FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,Dark,Tall,Elrond,Half-elven,Rivendell,Celebrían,Elrond,179,179
591,YT,,Male,"Leaf, twig and moss like",15'4,Treebeard,"Ents,Onodrim",,Fimbrethil,Treebeard,150,150
340,"Unknown, before the coming of Melkor","Unknown, possibly immortal",Male,Brown,,Tom Bombadil,,Old Forest,Goldberry,Tom,147,28
77,"Before the creation of ,Arda","March 25 ,3019",Male,Various ,Various until ,Sauron,Maiar,,None,Sauron,140,140
686,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Golden,Tall,Galadriel,Elves,"Eregion,Lothlórien,Caras Galadhon",Celeborn,Galadriel,82,82
125,SA 3209,TA 2,Male,Black,Very tall almost 7'1,Isildur,Men,"Arnor,Gondor",Unnamed wife,Isildur,75,75
595,TA 2700,TA 2811,Male,,,Beregond,Men,,Unnamed wife,Beregond,73,73
204,SA 3119,SA 3441 ,Male,Brown,"7' 10""",Elendil,Men,"Arnor,Gondor",Unnamed wife,Elendil,56,56
