"stationId","availableBikes","availableDocks","t"
"1","8","11","2021-10-17 10:50:01"
"2","6","29","2021-10-17 10:50:01"
"3","1","31","2021-10-17 10:50:01"
"4","20","2","2021-10-17 10:50:01"
"5","9","18","2021-10-17 10:50:01"
"6","4","13","2021-10-17 10:50:01"
"7","4","12","2021-10-17 10:50:01"
"8","28","11","2021-10-17 10:50:01"
"9","0","19","2021-10-17 10:50:01"
"10","5","13","2021-10-17 10:50:01"
"11","2","20","2021-10-17 10:50:01"
"12","5","42","2021-10-17 10:50:01"
"13","1","20","2021-10-17 10:50:01"
"14","4","41","2021-10-17 10:50:01"
"15","2","23","2021-10-17 10:50:01"
"17","0","25","2021-10-17 10:50:01"
"18","2","20","2021-10-17 10:50:01"
"19","8","20","2021-10-17 10:50:01"
"20","8","20","2021-10-17 10:50:01"
"22","8","11","2021-10-17 10:50:01"
"23","0","16","2021-10-17 10:50:01"
"24","6","28","2021-10-17 10:50:01"
"25","36","9","2021-10-17 10:50:01"
"26","5","15","2021-10-17 10:50:01"
"27","3","30","2021-10-17 10:50:01"
"28","5","13","2021-10-17 10:50:01"
"29","0","22","2021-10-17 10:50:01"
"30","13","8","2021-10-17 10:50:01"
"31","0","36","2021-10-17 10:50:01"
"32","0","0","2021-10-17 10:50:01"
"33","18","0","2021-10-17 10:50:01"
"34","4","12","2021-10-17 10:50:01"
"36","12","15","2021-10-17 10:50:01"
"37","14","2","2021-10-17 10:50:01"
"38","7","10","2021-10-17 10:50:01"
"39","5","35","2021-10-17 10:50:01"
"40","14","2","2021-10-17 10:50:01"
"41","7","17","2021-10-17 10:50:01"
"42","11","15","2021-10-17 10:50:01"
"43","7","11","2021-10-17 10:50:01"
"44","2","19","2021-10-17 10:50:01"
"45","4","22","2021-10-17 10:50:01"
"46","13","3","2021-10-17 10:50:01"
"47","5","14","2021-10-17 10:50:01"
"48","5","20","2021-10-17 10:50:01"
"49","2","14","2021-10-17 10:50:01"
"50","14","13","2021-10-17 10:50:01"
"51","4","25","2021-10-17 10:50:01"
"52","2","15","2021-10-17 10:50:01"
"53","1","17","2021-10-17 10:50:01"
"55","2","31","2021-10-17 10:50:01"
"56","4","11","2021-10-17 10:50:01"
"57","4","26","2021-10-17 10:50:01"
"58","7","11","2021-10-17 10:50:01"
"60","0","18","2021-10-17 10:50:01"
"61","5","27","2021-10-17 10:50:01"
"62","7","14","2021-10-17 10:50:01"
"63","6","21","2021-10-17 10:50:01"
"64","3","20","2021-10-17 10:50:01"
"66","1","39","2021-10-17 10:50:01"
"67","1","25","2021-10-17 10:50:01"
"68","0","26","2021-10-17 10:50:01"
"69","1","20","2021-10-17 10:50:01"
"70","5","19","2021-10-17 10:50:01"
"71","5","24","2021-10-17 10:50:01"
"72","5","11","2021-10-17 10:50:01"
"73","16","10","2021-10-17 10:50:01"
"74","12","4","2021-10-17 10:50:01"
"75","16","2","2021-10-17 10:50:01"
"76","0","21","2021-10-17 10:50:01"
"77","7","19","2021-10-17 10:50:01"
"78","7","10","2021-10-17 10:50:01"
"79","3","15","2021-10-17 10:50:01"
"80","17","28","2021-10-17 10:50:01"
"81","4","15","2021-10-17 10:50:01"
"82","0","15","2021-10-17 10:50:01"
"83","2","18","2021-10-17 10:50:01"
"84","0","25","2021-10-17 10:50:01"
"85","18","21","2021-10-17 10:50:01"
"86","11","13","2021-10-17 10:50:01"
"88","4","21","2021-10-17 10:50:01"
"89","4","14","2021-10-17 10:50:01"
"90","1","26","2021-10-17 10:50:01"
"91","0","19","2021-10-17 10:50:01"
"92","11","30","2021-10-17 10:50:01"
"93","20","17","2021-10-17 10:50:01"
"94","10","16","2021-10-17 10:50:01"
"95","0","15","2021-10-17 10:50:01"
"96","0","26","2021-10-17 10:50:01"
"97","0","17","2021-10-17 10:50:01"
